iter,L2 error uh,H1 error uh,L2 div uh,abs L2 error ph
1,0.006990280478371458,0.0413263173973836,0.02963603482055219,0.07850204657982311
2,0.0007901833701581527,0.025235455980309015,0.00043285360976821473,0.07615749982879634
3,0.000792403203457753,0.025488345851992656,0.0001090891346842309,0.07878668054202609
4,0.0007946226470977153,0.025550092731876174,0.00010253487932164651,0.08079005385474909
5,0.000795285301024842,0.025567990593871655,0.00010174531569742699,0.08345268866525507
6,0.0007955035463123867,0.02557382385559082,0.00010161690417572737,0.08705577063009373
7,0.0007955797794996766,0.0255758794603656,0.00010158415599501935,0.09159165015794309
8,0.0007956077731623963,0.025576657974782983,0.00010156908353723963,0.09696258242411243
9,0.0007956187200714683,0.025576981913159463,0.0001015588701231758,0.1030490796168
10,0.0007956234405712164,0.02557713684963586,0.00010155076524807151,0.10973589621007461
