iter,L2 error uh,H1 error uh,L2 div uh,abs L2 error ph
1,0.006993132542737368,0.04134620719774167,0.02963692163144459,0.07465577890168852
2,0.0007941638046327509,0.025211094941763688,0.0004272594975979066,0.07365113374352474
3,0.0007942507514676104,0.025425258251623235,0.00010090500938137774,0.07853716237512898
4,0.0007957048598327981,0.025467920684075593,9.69458409658292e-05,0.08301814053608093
5,0.0007960589988275957,0.025478017960193663,9.654368134266022e-05,0.0880448929869025
6,0.0007961585659508618,0.02548086747142809,9.646666234097846e-05,0.09372080206098973
7,0.0007961904096886449,0.02548181152434198,9.643997736163993e-05,0.09998274314428375
8,0.0007962020145614019,0.025482180690382373,9.642514429657523e-05,0.10674092785132533
9,0.000796206947077314,0.02548235474410767,9.641452503947394e-05,0.11391119875410313
10,0.000796209466811284,0.025482455017711608,9.640600617423141e-05,0.12142196231879417
11,0.000796211025423244,0.02548252429457079,9.63988046242679e-05,0.1292143467858207
